dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
CiteSeer,GAT,3,0.1,Shuffled,NA,0.4099099338054657,263,2.576113224029541,2.4452672004699707,0.3049887716770172
CiteSeer,GAT,3,0.1,Gaussian,0.1,0.46696698665618896,106,1.2657513618469238,2.3990490436553955,0.3052276074886322
CiteSeer,GAT,3,0.1,Gaussian,0.3,0.4729729890823364,166,1.602869987487793,2.3360698223114014,0.30549633502960205
CiteSeer,GAT,3,0.1,Gaussian,0.5,0.45045045018196106,317,2.522420883178711,2.297513723373413,0.30485135316848755
CiteSeer,GAT,3,0.1,EdgeDrop,NA,0.7222222685813904,172,1.641636610031128,2.4518024921417236,0.30630937218666077
CiteSeer,GAT,4,0.01,Vanilla,NA,0.46846848726272583,76,1.0537173748016357,2.445361375808716,0.3055979311466217
CiteSeer,GAT,4,0.01,Identity,NA,0.31381383538246155,274,2.316755771636963,2.4340713024139404,0.30566278100013733
CiteSeer,GAT,4,0.01,Shuffled,NA,0.25375375151634216,98,1.491023063659668,2.4452168941497803,0.3056027293205261
CiteSeer,GAT,4,0.01,Gaussian,0.1,0.2852852940559387,68,1.0215468406677246,2.4204628467559814,0.30564653873443604
CiteSeer,GAT,4,0.01,Gaussian,0.3,0.28828829526901245,159,1.5656611919403076,2.1976351737976074,0.3039165139198303
